,addr,price,bds,link,ba,sqft,type
0,"Solazzo Apartments Homes | 8506 Villa La Jolla Dr, La Jolla, CA","$2,830+",1,https://www.zillow.com/b/solazzo-apartments-homes-la-jolla-ca-5Xk5YK/,,,
1,"8039 Caminito Mallorca, La Jolla, CA 92037","$3,200/mo",3,https://www.zillow.com/homedetails/8039-Caminito-Mallorca-La-Jolla-CA-92037/16841805_zpid/,2.5,"1,467",Townhouse
2,"Prospect | 315 Prospect St, La Jolla, CA","$3,050+",1,https://www.zillow.com/b/prospect-la-jolla-ca-9MjFwv/,,,
3,"Prospect | 315 Prospect St, La Jolla, CA","$4,195+",2,https://www.zillow.com/b/prospect-la-jolla-ca-9MjFwv/,,,
4,"607 Westbourne St, La Jolla, CA 92037","$6,500/mo",3,https://www.zillow.com/homedetails/607-Westbourne-St-La-Jolla-CA-92037/67403233_zpid/,3,"2,012",Townhouse
5,"8368 Via Sonoma, La Jolla, CA","$2,300+",1,https://www.zillow.com/b/la-jolla-park-villas-la-jolla-ca-5fQhgk/,,,
6,"Ocean House on Prospect Apartment Homes | 400 Prospect St, La Jolla, CA","$4,990+",1,https://www.zillow.com/b/ocean-house-on-prospect-apartment-homes-la-jolla-ca-5Xkm98/,,,
7,"Ocean House on Prospect Apartment Homes | 400 Prospect St, La Jolla, CA","$10,114+",2,https://www.zillow.com/b/ocean-house-on-prospect-apartment-homes-la-jolla-ca-5Xkm98/,,,
8,"Village Square | 8683 Via Mallorca, La Jolla, CA","$2,425+",1,https://www.zillow.com/b/village-square-la-jolla-ca-5XjSbh/,,,
9,"1141 SILVERADO ST. | 1141 Silverado St, La Jolla, CA","$1,750+",Studio,https://www.zillow.com/b/1141-silverado-st.-la-jolla-ca-9MjDMp/,,,
10,"303 Coast Blvd UNIT 14, La Jolla, CA 92037","$5,500/mo",2,https://www.zillow.com/homedetails/303-Coast-Blvd-UNIT-14-La-Jolla-CA-92037/16848552_zpid/,2,"1,117",Apartment
11,"7428 Eads Ave, La Jolla, CA 92037","$7,300/mo",3,https://www.zillow.com/homedetails/7428-Eads-Ave-La-Jolla-CA-92037/16848965_zpid/,3.5,"1,164",House
12,"5734 Dolphin Pl, La Jolla, CA 92037","$17,500/mo",3,https://www.zillow.com/homedetails/5734-Dolphin-Pl-La-Jolla-CA-92037/16855407_zpid/,3.5,"2,950",House
13,"6535 Caminito Northland, La Jolla, CA 92037","$6,500/mo",3,https://www.zillow.com/homedetails/6535-Caminito-Northland-La-Jolla-CA-92037/45649027_zpid/,3,"2,800",House
14,"8871 Nottingham Pl, La Jolla, CA 92037","$7,495/mo",5,https://www.zillow.com/homedetails/8871-Nottingham-Pl-La-Jolla-CA-92037/16835077_zpid/,4,"3,314",House
15,"5858 Sagebrush Rd, La Jolla, CA 92037","$6,900/mo",4,https://www.zillow.com/homedetails/5858-Sagebrush-Rd-La-Jolla-CA-92037/16856590_zpid/,3,"1,970",House
16,"837 Agate St, San Diego, CA 92109","$2,295/mo",1,https://www.zillow.com/homedetails/837-Agate-St-San-Diego-CA-92109/2094945452_zpid/,1,600,Apartment
17,"6455 La Jolla Blvd UNIT 253, La Jolla, CA 92037","$3,400/mo",2,https://www.zillow.com/homedetails/6455-La-Jolla-Blvd-UNIT-253-La-Jolla-CA-92037/52514234_zpid/,2,989,Apartment
18,"2312 Bahia Dr #1YEAR, La Jolla, CA 92037","$5,495/mo",3,https://www.zillow.com/homedetails/2312-Bahia-Dr-1YEAR-La-Jolla-CA-92037/2090807275_zpid/,2,"1,700",Apartment
19,"8509 Villa La Jolla Dr, La Jolla, CA","$2,450+",1,https://www.zillow.com/b/villa-la-jolla-condominiums-la-jolla-ca-9MjLNG/,,,
20,"8509 Villa La Jolla Dr, La Jolla, CA","$2,990+",2,https://www.zillow.com/b/villa-la-jolla-condominiums-la-jolla-ca-9MjLNG/,,,
21,"2328 Rue De Anne, La Jolla, CA 92037","$14,995/mo",3,https://www.zillow.com/homedetails/2328-Rue-De-Anne-La-Jolla-CA-92037/16851607_zpid/,3.5,"3,743",House
22,"8272 Caminito Sonoma, La Jolla, CA 92037","$4,650/mo",4,https://www.zillow.com/homedetails/8272-Caminito-Sonoma-La-Jolla-CA-92037/16840917_zpid/,3,"1,534",Townhouse
23,"6820 Draper Ave, La Jolla, CA 92037","$6,995/mo",2,https://www.zillow.com/homedetails/6820-Draper-Ave-La-Jolla-CA-92037/16850000_zpid/,2.5,"1,800",Townhouse
24,"8392 La Jolla Shores Dr, La Jolla, CA 92037","$25,000/mo",3,https://www.zillow.com/homedetails/8392-La-Jolla-Shores-Dr-La-Jolla-CA-92037/16838624_zpid/,3,"2,800",House
25,"1115 Pearl St UNIT 5, La Jolla, CA 92037","$4,250/mo",2,https://www.zillow.com/homedetails/1115-Pearl-St-UNIT-5-La-Jolla-CA-92037/16849077_zpid/,2,"1,381",Apartment
26,"5220 Cass St, San Diego, CA 92109","$5,950/mo",3,https://www.zillow.com/homedetails/5220-Cass-St-San-Diego-CA-92109/2075122616_zpid/,2,"1,500",House
27,"8644 Via Mallorca APT G, La Jolla, CA 92037","$2,700/mo",1,https://www.zillow.com/homedetails/8644-Via-Mallorca-APT-G-La-Jolla-CA-92037/16841315_zpid/,1,504,Apartment
28,"5552 Via Callado, La Jolla, CA 92037","$32,000/mo",5,https://www.zillow.com/homedetails/5552-Via-Callado-La-Jolla-CA-92037/16857208_zpid/,6,"4,213",House
29,"7325 Draper Ave, La Jolla, CA 92037","$3,895/mo",2,https://www.zillow.com/homedetails/7325-Draper-Ave-La-Jolla-CA-92037/2100684089_zpid/,2.5,"1,050",Apartment
30,"1113 Pearl St #8, La Jolla, CA 92037","$5,900/mo",2,https://www.zillow.com/homedetails/1113-Pearl-St-8-La-Jolla-CA-92037/2092976608_zpid/,2,"1,241",Condo
31,"3187 Morning Way, La Jolla, CA 92037","$5,000/mo",3,https://www.zillow.com/homedetails/3187-Morning-Way-La-Jolla-CA-92037/16835841_zpid/,2.5,"1,640",Apartment
32,"2780 Carriagedale Row, La Jolla, CA 92037","$5,500/mo",4,https://www.zillow.com/homedetails/2780-Carriagedale-Row-La-Jolla-CA-92037/16858111_zpid/,4,"2,090",House
33,"1327 Cottontail Ln, La Jolla, CA 92037","$9,500/mo",4,https://www.zillow.com/homedetails/1327-Cottontail-Ln-La-Jolla-CA-92037/16855254_zpid/,3,"1,904",House
34,"1040 Coast Blvd #103, La Jolla, CA 92037","$5,250/mo",2,https://www.zillow.com/homedetails/1040-Coast-Blvd-103-La-Jolla-CA-92037/16847831_zpid/,2,"1,125",Condo
35,"7502 High Ave, La Jolla, CA 92037","$10,000/mo",3,https://www.zillow.com/homedetails/7502-High-Ave-La-Jolla-CA-92037/16848989_zpid/,3,"1,300",House
36,"1020 Coast Blvd S #2, La Jolla, CA 92037","$3,795/mo",1,https://www.zillow.com/homedetails/1020-Coast-Blvd-S-2-La-Jolla-CA-92037/2067102682_zpid/,1,--,Apartment
37,"2872 Torrey Pines Rd, La Jolla, CA 92037","$6,500/mo",3,https://www.zillow.com/homedetails/2872-Torrey-Pines-Rd-La-Jolla-CA-92037/16838976_zpid/,3,"2,083",Townhouse
38,"1205 Coast Blvd UNIT F, La Jolla, CA 92037","$13,000/mo",2,https://www.zillow.com/homedetails/1205-Coast-Blvd-UNIT-F-La-Jolla-CA-92037/16847895_zpid/,2,"2,040",Condo
39,"7530 Draper Ave, La Jolla, CA 92037","$8,400/mo",3,https://www.zillow.com/homedetails/7530-Draper-Ave-La-Jolla-CA-92037/2067192863_zpid/,3.5,"2,185",Townhouse
40,"6043 Oakgate Row, La Jolla, CA 92037","$6,495/mo",4,https://www.zillow.com/homedetails/6043-Oakgate-Row-La-Jolla-CA-92037/16858130_zpid/,2.5,"2,716",House
41,"2614 Costebelle Dr, La Jolla, CA 92037","$10,000/mo",4,https://www.zillow.com/homedetails/2614-Costebelle-Dr-La-Jolla-CA-92037/16839708_zpid/,4,"4,075",House
42,"2727 Carriagedale Row, La Jolla, CA 92037","$8,750/mo",4,https://www.zillow.com/homedetails/2727-Carriagedale-Row-La-Jolla-CA-92037/16858124_zpid/,3.5,"2,939",House
